Rank   Event          Stage          Round          Matches  Match Code                          Match ID
--------------------------------------------------------------------------------------------------------------

--- Global Round 1 ---
140    Women's B      MAIN           MAIN QF        16       WOM_WOM_E12_BLW_M4                  1196
141    Women's B      MAIN           MAIN QF        16       WOM_WOM_E12_BLL_M1                  1205
142    Women's B      MAIN           MAIN QF        16       WOM_WOM_E12_BLL_M2                  1206
143    Women's B      MAIN           MAIN QF        16       WOM_WOM_E12_BLL_M3                  1207
144    Women's B      MAIN           MAIN QF        16       WOM_WOM_E12_BLL_M4                  1208
145    Women's C      MAIN           MAIN QF        16       WOM_WOM_E13_BWW_M1                  1249
146    Women's C      MAIN           MAIN QF        16       WOM_WOM_E13_BWW_M2                  1250
147    Women's C      MAIN           MAIN QF        16       WOM_WOM_E13_BWW_M3                  1251
148    Women's C      MAIN           MAIN QF        16       WOM_WOM_E13_BWW_M4                  1252
149    Women's C      MAIN           MAIN QF        16       WOM_WOM_E13_BWL_M1                  1261
150    Women's C      MAIN           MAIN QF        16       WOM_WOM_E13_BWL_M2                  1262
151    Women's C      MAIN           MAIN QF        16       WOM_WOM_E13_BWL_M3                  1263
152    Women's C      MAIN           MAIN QF        16       WOM_WOM_E13_BWL_M4                  1264
153    Women's C      MAIN           MAIN QF        16       WOM_WOM_E13_BLW_M1                  1273
154    Women's C      MAIN           MAIN QF        16       WOM_WOM_E13_BLW_M2                  1274
155    Women's C      MAIN           MAIN QF        16       WOM_WOM_E13_BLW_M3                  1275
156    Women's C      MAIN           MAIN QF        16       WOM_WOM_E13_BLW_M4                  1276
157    Women's C      MAIN           MAIN QF        16       WOM_WOM_E13_BLL_M1                  1285
158    Women's C      MAIN           MAIN QF        16       WOM_WOM_E13_BLL_M2                  1286
159    Women's C      MAIN           MAIN QF        16       WOM_WOM_E13_BLL_M3                  1287
160    Women's C      MAIN           MAIN QF        16       WOM_WOM_E13_BLL_M4                  1288
161    Mixed A        RR             RR R1          8        MIX_MIX_E10_POOLA_RR_01             1049
162    Mixed A        RR             RR R1          8        MIX_MIX_E10_POOLA_RR_02             1050
163    Mixed A        RR             RR R1          8        MIX_MIX_E10_POOLB_RR_01             1055
164    Mixed A        RR             RR R1          8        MIX_MIX_E10_POOLB_RR_02             1056
165    Mixed A        RR             RR R1          8        MIX_MIX_E10_POOLC_RR_01             1061
166    Mixed A        RR             RR R1          8        MIX_MIX_E10_POOLC_RR_02             1062
167    Mixed A        RR             RR R1          8        MIX_MIX_E10_POOLD_RR_01             1067
168    Mixed A        RR             RR R1          8        MIX_MIX_E10_POOLD_RR_02             1068

--- Global Round 4 ---
169    Women's A      MAIN           MAIN SF        8        WOM_WOM_E11_BWW_M5                  1093
170    Women's A      MAIN           MAIN SF        8        WOM_WOM_E11_BWW_M6                  1094
171    Women's A      MAIN           MAIN SF        8        WOM_WOM_E11_BWL_M5                  1105
172    Women's A      MAIN           MAIN SF        8        WOM_WOM_E11_BWL_M6                  1106
173    Women's A      MAIN           MAIN SF        8        WOM_WOM_E11_BLW_M5                  1117
174    Women's A      MAIN           MAIN SF        8        WOM_WOM_E11_BLW_M6                  1118
175    Women's A      MAIN           MAIN SF        8        WOM_WOM_E11_BLL_M5                  1129
176    Women's A      MAIN           MAIN SF        8        WOM_WOM_E11_BLL_M6                  1130
